nom,email,phone,role,department,position,location,address
Ines Cherif,ines.cherif@teamwillgroup.com,640567954,Employee,IT,Coordinator,Paris,45 rue de la Liberté
Ines Mezghani,ines.mezghani@teamwill.com,668307857,Responsable,IT,Manager,Sousse,45 rue de la Liberté
Omar Mezghani,omar.mezghani@teamwill.com,698496663,Responsable,Finance,Sales Rep,Paris,78 boulevard Habib Bourguiba
Salma Mansour,salma.mansour@teamwillgroup.com,630428805,Employee,Sales,Coordinator,Sousse,12 rue de la Paix
Tarek Jaziri,tarek.jaziri@teamwill.com,671649631,Responsable,Marketing,Director,Paris,12 rue de la Paix
Tarek Cherif,tarek.cherif@teamwillgroup.com,678565986,Responsable,Finance,Analyst,Lyon,78 boulevard Habib Bourguiba
Nada Cherif,nada.cherif@teamwillgroup.com,643765963,Employee,Finance,Director,Sfax,12 rue de la Paix
Nabil Mezghani,nabil.mezghani@teamwillgroup.com,625968932,Responsable,Marketing,Director,Sousse,34 avenue des Champs
Rami Mezghani,rami.mezghani@teamwill.com,644184382,Responsable,Sales,Sales Rep,Lyon,90 avenue Habib
Nada Zouari,nada.zouari@teamwill.com,688554143,Employee,Finance,Analyst,Tunis,45 rue de la Liberté
